Id,EssaySet,EssayText,EssayScore
6730,3,"Pandas in China are similar to koalas in Australia because pandas eats almost nothing but bamboo or Australia's kolas bear, which eats eucalyptus leaves almost exclusively.",1
5973,3,"Pandas in China and koalas in Australia are similar in the sense that they are both specialist species which live in a very specific enviornment. On the other hand, a python is a generalist and can move between climates.",0
5053,3,The panda and the koala bear are similar because they only eat one type of plants and they are both bears. They are different from pythons because they don't live in Florida and they aren't reptiles.,1
6650,3,"Pandas and koalas are specialist animals. Specialist animals are animal that need a specific enviroment to survive. For example pandas and koalas eat almost only bamboo and eucalyptus leaves respectively. Pythons are generalist species meaning they thrive on change. They can potentially live anywhere from humid Florida, to arid Lexas to busy California to even cold Delaware.",1
6183,3,"Pandas in China as well as koalas in Australia are similar because they are both considered specialists. According to the article, pandas eat almost nothing but bamboo and koalas eat mostly eucalyptus leaves. Therefore as the story explains, these species favor stability opposed to generalists that favor change.",1
5952,3,"Pandas in China are similar to koalas in Australia becaues pandas eats almost nothing but bamboo and koala bears eat eucalyptus leaves. The panda and koala bears are different from pythons because in the story the author said in 2005 a python swallowed an alligator. They are diffrent because a python eats what animals, and the panda & koala eat leaves and bamboo.",2
6260,3,"The pandas in China are similar to the koalas in Australia, because they eat not that much. The pandas eat bamboo and koala eat eucalyptus leaves. They are animals that feed on trees.",0
6370,3,"China's panda bear and Australia's koala bear are similar because they are both specialists. They both survive on basically one type of food and wouldn't survive outside of their habit. Both these animals are different from the python because the phython eats different food, and as the map shows, live in multiple places.",2
6294,3,They are both similar because of eating only one food which they both have in common. And a python is a generalist to where the panda and the koalas are specialist.,0
5864,3,"Pandas are similar to Koalas because they are both specialists. They only live in one part of the world and eats only one type of food. They are different from pythons because, as the article says, Pythons can survive in many habitats, unlike Pythons, Pandas and koalas can only live in one place.",1
5975,3,"Pandas in China are similar to koalas in Australia because they have very selective diets. The panda only eats bamboo leaves and the koala eats nothing but eucalyptus leaves. These animals are also considered specialist. A specialist is China's panda, Which eats nothing but bamboo or Australia's koala bear, which eats eucalyptus leaves almost exclusively. These animals differ from the python by the fact that the python is considered a generalist, a creature that live almost anywhere. ""A generalist is a raccoon, a python, a cockroach...""",0
5473,3,Chinese Panda's and Koalas are similar because they both have exclusive diets like Panda's is bamboo and Koalas is eucalyptus leaves. They are different from pythons because pythons diet aren't exclusive they will eat a wood rat & alligator as said in the story.,1
5756,3,The panda's and koala's are similar because they are both specialist species eating almost exclusivly one form of plant type and they are both different from pythons because a python is a generalist species eating almost any animals it can so it is not limited to one habitat or region.,1
5301,3,These two type of bears are similar because China panda bears eats bamboo. While the Australias koala bears eat eucalyptus that's how they a similar they both eat plants. Pythons are different because they could live almost anywhere. Also pythons do best in and around humans.,1
6443,3,Pandas from china and koalas from Australia are similar because they're eco-friendly species. They only eat plants and are no danger to humans. They're both different from to pythons because pythons are dangerous species and eat other animals that can disrupt our animal population they're also harmful to humans.,0
6028,3,"Pandas in China are similar to koalas in Australia, as they are both specialists. This means that they only eat one type of food making it harder for them to adapt to new climates. There specialists greatly differ from pythons b/c pythons can adapt easier, as they can survive by eating almost anything. Animal similar to pythons,racroans and cockroaches are called generalists as they eat a wider variety of food and can survive almost changing conditions.",1
6375,3,They are both similar because in the article it said all they eatis bamboo.,1
